Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
citrus_leaves,6,5.39E-06,0,8,0.339285714,0.24847973,0.252467105,0.149038462,0.252467105,0.561421335,0.31507795,7.250638723,0.02282548
citrus_leaves,7,1.16E-05,3,5,0.345454545,0.245192308,0.259868421,0.166208791,0.259868421,0.465450236,0.227735984,15.7406075,0.025585413
citrus_leaves,8,3.75E-06,2,6,0.351851852,0.242117117,0.267156863,0.194444444,0.267156863,0.575158452,0.288568205,13.00921559,0.025547504
citrus_leaves,9,3.81E-05,3,8,0.375,0.230105809,0.294582043,0.280357143,0.294582043,0.580770209,0.313491331,15.61272097,0.027199745
rock_paper_scissors,0,3.78E-06,1,4,0.305,0.347278758,0.305109923,0.306372549,0.305109923,0.464576072,0.318199362,33.16846299,0.041075945
rock_paper_scissors,1,0.003018195,0,6,0.348484848,0.325390399,0.350226244,0.345546559,0.350226244,0.509387439,0.337662946,22.98531914,0.036156416
rock_paper_scissors,2,6.09E-06,1,4,0.32,0.341059852,0.318181818,0.313494761,0.318181818,0.487420296,0.347703066,33.00733018,0.04052639
rock_paper_scissors,3,0.000212881,3,3,0.328282828,0.336120778,0.327796913,0.328565453,0.327796913,0.45571229,0.312684385,51.85283041,0.047560692
rock_paper_scissors,4,0.004541094,3,6,0.328282828,0.333333333,0.333333333,0.109427609,0.333333333,0.5,0.666666667,50.66666412,0.049628019
rock_paper_scissors,5,0.001656458,0,3,0.267676768,0.366639994,0.266469846,0.264771874,0.266469846,0.445369726,0.308053762,24.11606407,0.041093111
rock_paper_scissors,6,0.00177677,0,5,0.385,0.307628524,0.384878194,0.385013769,0.384878194,0.560499087,0.39761397,23.35364151,0.038372278
rock_paper_scissors,7,0.004054444,0,5,0.34,0.330280416,0.339423648,0.339490077,0.339423648,0.482531638,0.320203126,23.30178499,0.050955772
rock_paper_scissors,8,3.16E-05,3,2,0.325,0.337466801,0.325041459,0.325724638,0.325041459,0.47940379,0.325958458,53.30590534,0.049525976
rock_paper_scissors,9,0.00001,1,4,0.33,0.334960536,0.330242726,0.321937322,0.330242726,0.484997829,0.320114258,33.14564347,0.043032169
cmaterdb,0,0.003387869,0,6,0.949799197,0.005578866,0.949877551,0.95057537,0.949877551,0.998382633,0.989311423,12.11116409,0.025930882
cmaterdb,1,0.000614588,3,2,0.956,0.004888889,0.956,0.95656619,0.956,0.999115556,0.99287606,31.7003324,0.035531521
cmaterdb,2,0.001524558,3,8,0.983870968,0.001791214,0.983836735,0.983991897,0.983836735,0.99982243,0.998428481,24.50887561,0.032146454
cmaterdb,3,0.002053058,3,8,0.975806452,0.002688077,0.975753401,0.976059108,0.975753401,0.999655359,0.997223479,24.58043766,0.031877756
cmaterdb,4,0.00148916,3,2,0.974,0.002888889,0.974,0.974212211,0.974,0.998508889,0.988328669,31.65927577,0.03353405
cmaterdb,5,0.001649409,3,2,0.948,0.005777778,0.948,0.949456408,0.948,0.994215556,0.974425548,31.4359982,0.033359766
cmaterdb,6,0.001034716,3,3,0.969879518,0.003346723,0.97,0.970985146,0.97,0.998102517,0.989312758,28.10446501,0.032681465
cmaterdb,7,0.00170018,2,2,0.97,0.003333333,0.97,0.971688537,0.97,0.998482222,0.986713543,28.09277773,0.038384438
cmaterdb,8,0.001736041,3,8,0.971774194,0.003137007,0.971714286,0.971959682,0.971714286,0.998470522,0.995349982,24.47340894,0.031904221
cmaterdb,9,0.00239149,1,4,0.966,0.003777778,0.966,0.96653356,0.966,0.998531111,0.989625312,18.1660583,0.032597542
cifar10,0,0.000289894,1,5,0.6145,0.042828022,0.613673103,0.61306861,0.613673103,0.926150362,0.670623046,44.23527288,0.164176464
cifar10,1,0.000161085,3,2,0.6345,0.040607673,0.633097939,0.63828908,0.633097939,0.927744395,0.679169851,122.3433912,0.08380723
cifar10,2,0.000250389,3,8,0.5995,0.04450302,0.598181193,0.599157562,0.598181193,0.921415581,0.654098226,61.65676856,0.083949804
cifar10,3,0.000190162,3,5,0.602,0.044213609,0.600985771,0.601798727,0.600985771,0.914864065,0.63193188,62.59671068,0.194984674
cifar10,4,0.000254697,0,2,0.6045,0.043940617,0.603798056,0.600711597,0.603798056,0.921985002,0.655671,80.25219464,0.062073946
cifar10,5,0.000300354,3,8,0.588,0.045762475,0.587323098,0.591596672,0.587323098,0.916429304,0.638015127,60.93631935,0.055035114
cifar10,6,0.00011863,3,2,0.6315,0.040940275,0.630536882,0.630338328,0.630536882,0.926673169,0.679306683,127.0417972,0.072223663
cifar10,7,0.000402193,3,8,0.619,0.042331329,0.617769736,0.616353868,0.617769736,0.921775954,0.657080429,61.30135989,0.054846287
