Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
beans,0,0.000190726,1,8,0.25,0.375569358,0.249019608,0.23716965,0.249019608,0.44318597,0.317514539,10.46883082,0.019522905
beans,1,0.001195011,1,2,0.432692308,0.282677709,0.434173669,0.46328363,0.434173669,0.562005237,0.391573206,11.95395231,0.024343252
beans,2,1.02E-06,3,3,0.441176471,0.279936634,0.440488923,0.489032258,0.440488923,0.632580783,0.44731972,17.47868347,0.029351473
beans,3,1.53E-05,3,5,0.28,0.362202562,0.27711039,0.296037296,0.27711039,0.406699927,0.290276791,17.03918481,0.025391579
beans,4,0.014293554,1,2,0.323529412,0.333333333,0.333333333,0.107843137,0.333333333,0.53008354,0.523971331,12.03016877,0.021961689
beans,5,7.59E-05,1,5,0.26,0.368983957,0.262254902,0.257575758,0.262254902,0.448766154,0.311990643,10.78062201,0.023991585
beans,6,0.000182258,3,7,0.285714286,0.360655031,0.277200577,0.267015099,0.277200577,0.468911294,0.321503808,16.77048206,0.024338722
beans,7,0.005578478,0,8,0.3125,0.34381105,0.314343027,0.311561562,0.314343027,0.521798045,0.355781042,7.627330542,0.018548727
beans,8,0.001651468,0,6,0.333333333,0.333745806,0.33035396,0.322438672,0.33035396,0.476008937,0.328508652,7.765782595,0.02142787
beans,9,0.000213872,3,7,0.326530612,0.336596737,0.326073232,0.325886953,0.326073232,0.511533605,0.355146097,16.70946455,0.023015738
binary_alpha_digits,0,1.72E-06,0,8,0.022058824,0.027983469,0.020833333,0.001282051,0.020833333,0.477723296,0.032870842,1.915637493,0.029557705
binary_alpha_digits,1,0.050578113,0,3,0.021276596,0.02797025,0.020833333,0.014197531,0.020833333,0.495120352,0.042025077,3.548145056,0.024573088
binary_alpha_digits,2,0.041623571,0,3,0.021276596,0.027974658,0.020833333,0.013425926,0.020833333,0.515053643,0.047675071,3.60476613,0.031276226
binary_alpha_digits,3,2.91E-06,1,6,0.02173913,0.027975929,0.020833333,0.003981906,0.020833333,0.5302181,0.062802114,2.601247072,0.025049448
binary_alpha_digits,4,1.00E-06,0,6,0.028985507,0.027777778,0.027777778,0.00081103,0.027777778,0.522726622,0.052101499,2.319606304,0.022378922
binary_alpha_digits,5,0.07195752,0,5,0.021428571,0.027777778,0.027777778,0.000595238,0.027777778,0.5,0.513888889,2.446501732,0.022287607
binary_alpha_digits,6,0.007411126,0,6,0.014492754,0.028117401,0.013888889,0.006944444,0.013888889,0.491595114,0.039767307,2.306533813,0.027682304
binary_alpha_digits,7,1.03E-06,3,4,0.028571429,0.027777778,0.027777778,0.000881834,0.027777778,0.462202498,0.041309411,4.649162292,0.034322739
binary_alpha_digits,8,8.77E-06,3,6,0.028985507,0.027768632,0.027777778,0.001646091,0.027777778,0.481239157,0.039588238,3.521784544,0.021410704
binary_alpha_digits,9,0.010640362,1,5,0.014285714,0.028154966,0.013888889,0.006493506,0.013888889,0.487097442,0.032728016,3.268587828,0.031616926
cats_vs_dogs,0,1.00E-06,3,2,0.475,0.537259615,0.462740385,0.440754897,0.462740385,0.426682692,0.455081735,32.92020416,0.047014713
cats_vs_dogs,1,1.66E-06,1,4,0.53,0.480769231,0.519230769,0.527103331,0.519230769,0.509465144,0.522894806,20.5446856,0.043238878
cats_vs_dogs,2,3.81E-06,2,7,0.510204082,0.501513728,0.498486272,0.498086819,0.498486272,0.437154191,0.460147832,25.99248219,0.039769888
cats_vs_dogs,3,0.000106644,1,7,0.484693878,0.523697672,0.476302328,0.473543124,0.476302328,0.489978077,0.510098838,20.31121755,0.037807465
cats_vs_dogs,4,7.69E-06,3,2,0.495,0.515224359,0.484775641,0.479456683,0.484775641,0.474959936,0.481056089,32.66922092,0.049815178
cats_vs_dogs,5,1.03E-06,3,2,0.52,0.478365385,0.521634615,0.52173913,0.521634615,0.541566506,0.527185055,33.58666134,0.048484802
cats_vs_dogs,6,1.12E-06,2,5,0.54,0.460737179,0.539262821,0.539262821,0.539262821,0.514322917,0.498098283,25.79568338,0.040126562
cats_vs_dogs,7,2.29E-06,3,2,0.5,0.512019231,0.487980769,0.48125,0.487980769,0.442307692,0.477847874,33.32600665,0.044040918
cats_vs_dogs,8,1.01E-06,3,2,0.52,0.504260652,0.495739348,0.428087986,0.495739348,0.497142857,0.485181378,32.99239898,0.040504932
cats_vs_dogs,9,1.01E-06,3,2,0.52,0.501253133,0.498746867,0.495495495,0.498746867,0.510225564,0.513246455,32.89754581,0.04820919
cifar10,0,0.000975781,2,2,0.44,0.062246355,0.43571247,0.447495805,0.43571247,0.839378337,0.423542136,10.37353086,0.023138523
cifar10,1,0.001105875,0,8,0.43,0.063136967,0.434617522,0.456577687,0.434617522,0.83340247,0.450739527,4.104059219,0.01968956
cifar10,2,0.00038061,0,2,0.42,0.064267495,0.422116523,0.457453657,0.422116523,0.855928423,0.481244223,6.9018085,0.024968386
cifar10,3,0.00145143,1,3,0.404040404,0.066138041,0.402122586,0.449651452,0.402122586,0.83491383,0.45091618,7.075839758,0.020017385
cifar10,4,0.002464109,0,7,0.5,0.055576471,0.49375316,0.508475291,0.49375316,0.855486699,0.494833361,4.231257677,0.021409988
cifar10,5,0.001962134,3,2,0.495,0.056126684,0.495897352,0.511963436,0.495897352,0.871167034,0.529814416,12.39613366,0.029608965
cifar10,6,0.000619955,0,2,0.435,0.062717169,0.437080778,0.458894211,0.437080778,0.837573201,0.458535831,6.910128355,0.022924662
cifar10,7,0.001594423,0,2,0.43,0.063270414,0.424191077,0.428238028,0.424191077,0.857616343,0.443955282,6.815069437,0.020999908
cifar10,8,0.004200196,0,8,0.43,0.063316486,0.429228787,0.455238319,0.429228787,0.843893797,0.463202874,4.084345818,0.020181179
cifar10,9,0.001767256,3,8,0.42,0.064287229,0.422197523,0.455720172,0.422197523,0.855199803,0.479155424,9.438694,0.023309231
citrus_leaves,0,3.90E-06,2,5,0.35,0.23372093,0.286764706,0.259032634,0.286764706,0.527717812,0.29470257,8.286128759,0.026652336
citrus_leaves,1,1.00E-06,3,6,0.35,0.25,0.25,0.0875,0.25,0.586608248,0.283453841,10.14894843,0.415986538
citrus_leaves,2,1.85E-06,2,5,0.4,0.225402504,0.302521008,0.2,0.302521008,0.480246007,0.263571564,8.209876776,0.026698589
citrus_leaves,3,2.04E-05,2,5,0.35,0.245165203,0.260241597,0.244761905,0.260241597,0.499190317,0.287033638,8.169921875,0.026457787
citrus_leaves,4,2.67E-05,0,8,0.267857143,0.271230159,0.212946429,0.202540107,0.212946429,0.491052119,0.251390177,4.748151779,0.026947737
citrus_leaves,5,0.000133194,3,8,0.339285714,0.237276094,0.306045752,0.393145161,0.306045752,0.55832372,0.299484854,9.98020196,0.027906895
citrus_leaves,6,2.55E-06,1,4,0.339285714,0.25,0.25,0.084821429,0.25,0.506026211,0.261763641,6.696552277,0.02605629
citrus_leaves,7,1.52E-05,0,2,0.327586207,0.250320924,0.248529412,0.156944444,0.248529412,0.570463396,0.281725621,5.205834389,0.024995089
citrus_leaves,8,5.99E-06,1,2,0.344827586,0.25,0.25,0.086206897,0.25,0.575818697,0.331740473,6.861005306,0.025022984
citrus_leaves,9,0.000125356,1,5,0.381818182,0.226757595,0.291850951,0.274754902,0.291850951,0.582521438,0.332149893,6.630338192,0.037119865
cmaterdb,0,0.000896026,3,5,0.955,0.004997034,0.954974937,0.959009662,0.954974937,0.998490692,0.987898639,6.549036264,0.024983168
cmaterdb,1,0.003424348,1,2,0.925,0.008311848,0.924949875,0.927496392,0.924949875,0.992667006,0.955269085,9.43616724,0.026937723
cmaterdb,2,0.000605127,3,2,0.94,0.006672909,0.939974937,0.94195809,0.939974937,0.99482423,0.980271997,11.49594045,0.041890621
cmaterdb,3,0.000313351,3,2,0.955,0.004997067,0.954974937,0.957424812,0.954974937,0.99935956,0.994613614,11.6792109,0.027156591
cmaterdb,4,0.000684306,3,3,0.944444444,0.006142323,0.943015873,0.946587302,0.943015873,0.996443584,0.97023832,8.710312843,0.33685708
cmaterdb,5,0.001070393,3,6,0.954545455,0.005031211,0.954181287,0.955193063,0.954181287,0.999011652,0.991876956,6.452858686,0.029281855
cmaterdb,6,0.000370539,3,2,0.93,0.007753426,0.92989899,0.934133885,0.92989899,0.994991271,0.97360046,11.4348278,0.030794621
cmaterdb,7,0.0004709,3,5,0.955,0.005000069,0.955426065,0.956313511,0.955426065,0.997638979,0.984342112,7.00216651,0.026073694
cmaterdb,8,0.0003743,3,2,0.93,0.007774846,0.931165414,0.93918643,0.931165414,0.998148881,0.987479828,11.59929705,0.033349752
cmaterdb,9,0.001182722,3,2,0.925,0.008324194,0.925426065,0.933038178,0.925426065,0.9964667,0.975614118,12.57514477,0.030296326
deep_weeds,0,5.25E-05,1,7,0.530612245,0.111718276,0.11005291,0.059259259,0.11005291,0.510540039,0.11447222,28.96930885,0.032165766
deep_weeds,1,1.49E-05,3,7,0.525510204,0.111111111,0.111111111,0.058390023,0.111111111,0.492185876,0.122076287,47.32479954,0.039782047
deep_weeds,2,0.098231637,3,7,0.540816327,0.111111111,0.111111111,0.060090703,0.111111111,0.5,0.555555556,47.37881732,0.03904891
deep_weeds,3,1.09E-06,2,7,0.540816327,0.111111111,0.111111111,0.060090703,0.111111111,0.481177794,0.127431286,38.08276129,0.034747839
deep_weeds,4,0.000001,0,7,0.530612245,0.111111111,0.111111111,0.058956916,0.111111111,0.492115725,0.113452165,19.68368077,0.029196978
deep_weeds,5,0.000001,3,7,0.530612245,0.111111111,0.111111111,0.058956916,0.111111111,0.460711638,0.103374566,47.49306536,0.042998552
deep_weeds,6,1.62E-05,1,7,0.530612245,0.111111111,0.111111111,0.058956916,0.111111111,0.497334005,0.12582002,28.98080492,0.032133818
deep_weeds,7,1.94E-06,2,7,0.535714286,0.111111111,0.111111111,0.05952381,0.111111111,0.526299112,0.130648338,38.22864556,0.034241438
deep_weeds,8,7.79E-06,3,7,0.530612245,0.111111111,0.111111111,0.058956916,0.111111111,0.49139274,0.124387435,47.36980796,0.039558411
deep_weeds,9,2.58E-06,2,7,0.535714286,0.111111111,0.111111111,0.05952381,0.111111111,0.525625299,0.12355786,38.1040566,0.03615737
dmlab,0,1.05E-06,0,8,0.2,0.169936731,0.155220379,0.098335738,0.155220379,0.4757975,0.161285645,14.39623165,0.024205923
dmlab,1,1.01E-06,3,3,0.212121212,0.169482468,0.156695157,0.061677062,0.156695157,0.51494452,0.185302546,33.08454561,0.033581257
dmlab,2,1.00E-06,2,3,0.217171717,0.163126362,0.180409357,0.076769527,0.180409357,0.528013568,0.178041307,27.84255004,0.03214407
dmlab,3,1.02E-06,3,2,0.215,0.166822127,0.166448802,0.066560359,0.166448802,0.486924509,0.167536466,33.93417311,0.033077478
dmlab,4,5.59E-06,3,8,0.215,0.166693381,0.167295123,0.23474933,0.167295123,0.481308592,0.166384732,32.00622296,0.035814524
dmlab,5,0.000001,3,2,0.225,0.166666667,0.166666667,0.0375,0.166666667,0.517813022,0.178079676,34.06235194,0.037932158
dmlab,6,1.00E-06,0,2,0.265,0.153235709,0.21965812,0.126293996,0.21965812,0.469677475,0.184290745,16.4759109,0.025251389
dmlab,7,3.79E-06,2,2,0.17,0.173883268,0.13960114,0.056078801,0.13960114,0.496982965,0.171989266,28.49908566,0.033305883
dmlab,8,1.03E-06,3,2,0.195,0.168767476,0.158136417,0.102438318,0.158136417,0.468198877,0.166252049,33.90793037,0.031006575
dmlab,9,1.00E-06,1,5,0.145,0.176626892,0.125576541,0.070515486,0.125576541,0.45946135,0.15414822,20.57735848,0.026929617
eurosat,0,0.001700418,0,2,0.56,0.048963798,0.545071192,0.591290584,0.545071192,0.904000445,0.599313842,16.62709475,0.027169943
eurosat,1,0.002841796,2,3,0.464646465,0.060112232,0.438646757,0.489136568,0.438646757,0.882683259,0.551404124,29.38802195,0.030545712
eurosat,2,0.000769505,3,5,0.52,0.053626925,0.483166389,0.561663124,0.483166389,0.894610403,0.589909606,35.63916707,0.03861928
eurosat,3,0.001726875,3,4,0.555,0.049524199,0.543423826,0.558897704,0.543423826,0.899983397,0.600995577,35.71109223,0.03659153
eurosat,4,0.001360299,2,2,0.54,0.051160945,0.51192445,0.527449553,0.51192445,0.89318047,0.585186723,30.989748,0.035856485
eurosat,5,0.00173118,3,7,0.505102041,0.055203081,0.483141799,0.530188765,0.483141799,0.89524021,0.58068371,34.77511334,0.03326726
eurosat,6,0.001009592,2,2,0.565,0.048375486,0.543821453,0.61447601,0.543821453,0.889859773,0.610496856,30.76645565,0.033960104
eurosat,7,0.000943121,3,2,0.655,0.038366624,0.643674156,0.664534493,0.643674156,0.934810548,0.703486223,37.85208321,0.03726697
