Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
tf_flowers,6,0.099126024,3,2,0.205,0.2,0.2,0.041,0.2,0.5,0.6,38.43372273,0.058260918
tf_flowers,7,0.000001,3,7,0.239795918,0.203438182,0.188,0.049473684,0.188,0.506647974,0.200717658,36.50626063,0.05459547
tf_flowers,8,5.36E-06,3,8,0.25,0.19841358,0.205526316,0.147997695,0.205526316,0.460443633,0.202406646,36.63132262,0.055701256
tf_flowers,9,0.000001,3,7,0.244897959,0.199845068,0.2,0.049484536,0.2,0.507048514,0.210549667,36.22136593,0.051235676
uc_merced,0,1.97E-06,3,4,0.05,0.04747602,0.04973545,0.06866499,0.04973545,0.504513626,0.058497727,36.70219922,0.072251558
uc_merced,1,1.04E-06,3,5,0.02,0.048949599,0.020634921,0.006768078,0.020634921,0.495910121,0.050914914,36.0880754,0.063002825
uc_merced,2,0.000752685,3,8,0.035,0.048239709,0.033862434,0.031746032,0.033862434,0.50658225,0.054153128,36.39338684,0.064935923
uc_merced,3,0.00001,1,4,0.035,0.048252831,0.035449735,0.025878685,0.035449735,0.516596742,0.069357108,24.60101986,0.066696644
uc_merced,4,2.43E-06,2,5,0.055,0.047285754,0.055026455,0.058530962,0.055026455,0.514715133,0.061054579,30.24338627,0.051918268
uc_merced,5,0.000909761,0,2,0.045,0.047750266,0.044444444,0.04085293,0.044444444,0.489376962,0.056598953,19.83191156,0.05211401
uc_merced,6,0.00001,1,4,0.035,0.048222651,0.035449735,0.029645619,0.035449735,0.526742132,0.059944216,24.63001704,0.05403018
uc_merced,7,7.91E-06,1,2,0.035,0.048259392,0.034920635,0.039514936,0.034920635,0.500328818,0.055117599,25.73572302,0.044388056
uc_merced,8,1.67E-06,1,8,0.065,0.046791061,0.063492063,0.025454875,0.063492063,0.534788258,0.067246105,24.22277093,0.048461199
uc_merced,9,2.35E-06,0,7,0.035714286,0.048312045,0.035714286,0.010663411,0.035714286,0.516519181,0.063985435,17.92768073,0.040345669
