Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
mnist,8,8.58E-06,3,2,0.105,0.100363524,0.096246595,0.062501127,0.096246595,0.523821052,0.10492366,8.736795425,0.01947999
mnist,9,1.09E-05,1,7,0.102040816,0.100643366,0.093380041,0.059538909,0.093380041,0.527790313,0.114236565,4.029971123,0.015223503
mnist_corrupted,0,3.49E-05,0,2,0.13,0.097208593,0.125937125,0.131444068,0.125937125,0.549443405,0.125764509,6.0301373,0.020024776
mnist_corrupted,1,0.00081991,2,2,0.1,0.100138812,0.10108287,0.100030259,0.10108287,0.488245606,0.114326504,10.06916833,0.020884752
mnist_corrupted,2,1.17E-05,3,2,0.105,0.100156641,0.096635611,0.066284036,0.096635611,0.522520425,0.110655112,9.642390013,0.019728899
mnist_corrupted,3,0.001447419,2,6,0.121212121,0.097753914,0.119869919,0.119669845,0.119869919,0.522702178,0.117662429,5.459744215,0.019829035
mnist_corrupted,4,5.71E-05,1,3,0.111111111,0.099184763,0.108115744,0.103867018,0.108115744,0.490947202,0.102189887,5.484622955,0.017575264
mnist_corrupted,5,1.03E-06,3,2,0.1,0.100864213,0.092489177,0.069367816,0.092489177,0.47909152,0.095881959,9.773047447,0.019216061
mnist_corrupted,6,2.06E-05,0,7,0.086734694,0.102007961,0.0839599,0.066814784,0.0839599,0.498370624,0.110184734,3.476367474,0.018533707
mnist_corrupted,7,3.84E-06,0,2,0.13,0.097617069,0.120205405,0.116793854,0.120205405,0.513360504,0.105827783,5.943995476,0.018167257
mnist_corrupted,8,6.27E-06,3,3,0.116161616,0.099035823,0.106082251,0.054934594,0.106082251,0.530238204,0.135648945,7.247138977,0.019469023
mnist_corrupted,9,2.67E-05,2,4,0.14,0.095948827,0.136388253,0.128149524,0.136388253,0.525889739,0.110423286,5.830479145,0.018143415
plant_village,0,4.53E-06,3,4,0.11,0.02624195,0.027222362,0.010132948,0.027222362,-1,-1,35.44575644,0.033795118
plant_village,1,1.39E-06,1,2,0.09,0.026687857,0.022953216,0.006645314,0.022953216,-1,-1,25.23971605,0.029637337
